Вобласць;Раён;Назва без націскаў;Назва па-расейску;osm:Node ID
Брэсцкая;Брэсцкі;Тэльмы 2;Тельмы 2;242979897
Брэсцкая;Брэсцкі;Хабы;Хабы;242981089
Брэсцкая;Брэсцкі;Шэбрын;Шебрин;242980818
Брэсцкая;Брэсцкі;Ямна;Ямно;242979974
Брэсцкая;Брэсцкі;Амяліна;Омелино;242980196
Брэсцкая;Брэсцкі;Блювінічы;Блювиничи;242980199
Брэсцкая;Брэсцкі;Вістычы;Вистычи;242979515
Брэсцкая;Брэсцкі;Вулька;Вулька;242979348
Брэсцкая;Брэсцкі;Вялікія Сухарэвічы;Великие Сухаревичи;242979376
Брэсцкая;Брэсцкі;Дружба;Дружба;242979364
Брэсцкая;Брэсцкі;Зелянец;Зеленец;242980234
Брэсцкая;Брэсцкі;Івахнавічы;Ивахновичи;242980231
Брэсцкая;Брэсцкі;Казловічы;Козловичи;242979342
Брэсцкая;Брэсцкі;Малая Курніца;Малая Курница;242980212
Брэсцкая;Брэсцкі;Несвіло;Несвило;242980237
Брэсцкая;Брэсцкі;Няневічы;Неневичи;242980218
Брэсцкая;Брэсцкі;Покры;Покры;242979398
Брэсцкая;Брэсцкі;Сасноўка;Сосновка;1165118581
Брэсцкая;Брэсцкі;Сколдычы;Сколдычи;2798107048
Брэсцкая;Брэсцкі;Смуга;Смуга;242979357
Брэсцкая;Брэсцкі;Холмічы;Холмичи;242979395
Брэсцкая;Брэсцкі;Чарнакі;Чернаки;2798107108
Брэсцкая;Брэсцкі;Чарнаўчыцы;Чернавчицы;242980215
Брэсцкая;Брэсцкі;Братылава;Братылово;242979954
Брэсцкая;Брэсцкі;Бярдычы;Бердычи;242979890
Брэсцкая;Брэсцкі;Валоскі;Волоски;2798117697
Брэсцкая;Брэсцкі;Вітошкі;Витошки;242979886
Брэсцкая;Брэсцкі;Вялікая Курніца;Великая Курница;242979952
Брэсцкая;Брэсцкі;Вялікія Косічы;Великие Косичи;242979906
Брэсцкая;Брэсцкі;Вялюнь;Велюнь;242979949
Брэсцкая;Брэсцкі;Гутавічы;Гутовичи;242979876
Брэсцкая;Брэсцкі;Забярэззе;Заберезье;2798121328
Брэсцкая;Брэсцкі;Залессе;Залесье;242979880
Брэсцкая;Брэсцкі;Збірагі;Збироги;242979884
Брэсцкая;Брэсцкі;Карабаны;Карабаны;2798124634
Брэсцкая;Брэсцкі;Клімовічы;Климовичи;2798128517
Брэсцкая;Брэсцкі;Селяхі;Селяхи;242979900
Брэсцкая;Брэсцкі;Харытоны;Харитоны;242980205
Брэсцкая;Брэсцкі;Чэрні;Черни;242979961
Брэсцкая;Бярозаўскі;Бяроза;Берёза;242978901
Брэсцкая;Бярозаўскі;Белаазёрск;Белоозёрск;242979023
Брэсцкая;Бярозаўскі;Альшэва;Ольшево;2798132908
Брэсцкая;Бярозаўскі;Лісічыцы;Лисичицы;242988368
Брэсцкая;Бярозаўскі;Манявічы;Маневичи;242988371
Брэсцкая;Бярозаўскі;Нівы;Нивы;2798130034
Брэсцкая;Бярозаўскі;Ніўкі;Нивки;242988374
Брэсцкая;Бярозаўскі;Хрыса;Хрисо;242988313
Брэсцкая;Бярозаўскі;Боркі;Борки;242986959
Брэсцкая;Бярозаўскі;Вялікія Лясковічы;Великие Лесковичи;242986946
Брэсцкая;Бярозаўскі;Кашалёва;Кошелёво;242986981
Брэсцкая;Бярозаўскі;Малыя Лясковічы;Малые Лесковичи;242986969
Брэсцкая;Бярозаўскі;Міхалкі;Михалки;242986984
Брэсцкая;Бярозаўскі;Пешкі;Пешки;242986956
Брэсцкая;Бярозаўскі;Чарнякава;Черняково;242986978
Брэсцкая;Бярозаўскі;Зарэчча;Заречье;242987355
